Genre,Film,Director,Leading actors,Year of cinema release,Country
Drama,A Clockwork Orange,Stanley Kubrick,Adrienne Corri/Malcolm McDowell/Michael Bates/Patrick Magee/Warren Clarke,1971,USA
Drama,Days of Heaven,Terrence Malik,Brooke Adams/Richard Gere/Sam Shepard,1978,USA
Drama,Wild Strawberries,Ingmar Bergman,Bibi Anderson/Bibi Andersson/Gunnar Bjornstrand/Ingrid Thulin/Victor Sjostrom,1957,Sweden
Drama,White Ribbon,Michael Haneke,Burghart Klaussner/Christian Friedel/Josef Bierbichler/Susanne Lothar/Ulrich Tukur,2009,Germany
Drama,The Gospel According to St Matthew,Pier Paolo Pasolini,Enrique Irazoqui/Margherita Caruso,1964,Italy
Drama,Aguirre Wrath of God,Werner Herzog,Cecilia Rivera/Klaus Kinski/Ruy Guerra,1972,Germany
Drama,Pather Panchali,Satyajit Ray,Kanu Bannerjee/Karuna Bannerjee/Uma Das Gupta,1955,India
Drama,The Conformist,Bernado Bertolucci,Dominique Sanda/Gastone Moschin/Jean-Louis Trintignant/Louis Trintignant/Stefania Sandrelli,1970,Italy
Drama,Death in Venice,Luchino Visconti,Bjorn Andresen/Dirk Bogarde/Marisa Berensen/Silvana Mangano,1971,Italy
Drama,The Godfather Parts I and II,Francis Ford Coppola,Al Lettieri/Al Pacino/Diane Keaton/James Caan/John Cazale/Marlon Brando/Robert Duvall/Talia Shire,1972,USA
Drama,The Graduate,Mike Nichols,Anne Bancroft/Dustin Hoffman/Katharine Ross/William Daniels,1967,USA
Drama,There Will Be Blood,Paul Thomas Anderson,Daniel Day Lewis/Daniel Day-Lewis/Dillon Freasier/Kevin J O'Connor/Paul Dano,2007,USA
Drama,Battleship Potemkin,Sergei Eisenstein,A Antonov/Alexandr Antonov/Grigori Alexandrov/Midhail Gomorov/Vladimir Barsky,1925,Soviet Union
Drama,Rules of the Game of Shadows,Jean Renoir,Nora Gregor/Paulette Dubost/Mila Parely.,1939,USA
Drama,Distant Voices Still Lives,Terence davies,Angela Walsh/Dean Williams/Freda Dowie/Lorraine Ashbourne/Pete Postlethwaite,1988,UK
Drama,Passion of Joan of Arc,Carl Theodor Dreyer,Eugene Silvain/Maria Falconetti/Michael Simon/Michel Simon/Renee Falconetti,1928,France
Drama,La Dolce Vita,Federico Fellini,Anita Ekberg/Anouk Aimee/Marcello Mastroianni,1960,Italy
Drama,Breaking the Waves,Lars Von Trier,Emily Watson/Katrin Cartlidge/Stellan Skarsgard,1996,Denmark
Drama,Spirit of the Beehive,Victor Erice,Ana Torrent/Fernando Fernan/Fernando Fernan Gomez/Fernando Fernan Gomez/Isabel Telleria,1973,Spain
Si-fi,2001,Stanley Kubrick,Daniel Richter/Gary Lockwood/Keir Dullea/William Sylvester,1968,USA
Si-fi,Metropolis,Fritz Lang,Alfred Abel/Brigitte Helm/Gustav Frohlich/Gustav Fruhlich,1927,Germany
Si-fi,Blade Runner,Ridley Scott,Harrison Ford/Rutger Hauer/Sean Young,1982,USA
Si-fi,Alien,Ridley Scott,Ian Holm/John Hurt/Sigourney Weaver/Tom Skerritt,1979,USA
Si-fi,The Wizard of Oz,Victor Fleming,Bert Lahr/Frank Morgan/Jack Haley/Judy Garland/Ray Bolger,1939,USA
Si-fi,ET,Steven Spielberg,Dee Wallace/Drew Barrymore/Henry Thomas/Peter Coyote,1982,USA
Si-fi,Solaris,Andrei Tarkovsky,Donatas Banionis/Juri Jarvet/Nataly Bondarchuk/Natalya Bondarchuk,1972,USA
Si-fi,Spirited Away,Hayao Miyazaki,Daveigh Chase/Jason Marsden/Jason Marsdon/Mari Natsuki/Miyu Irino/Rumi Hiragi/Suzanne Pleshette,2001,Japan
Si-fi,Star Wars  (1977),George Lucas,Alec Guinness/Carrie Fisher/David Prowse/Harrison Ford/Mark Hamill/Peter Cushing/Peter Mayhew,1977,USA
Si-fi,Close Encounters,Steven Spielberg,Melinda Dillon/Richard Dreyfuss,1977,USA
Si-fi,King Kong,Ernest B Schoedsack/Merian C Cooper,Bruce Cabot/Ernest B Schoedsack/Fay Wray/Frank Reicher/James Flavin/John Armstrong/Noble Jhonson/Robert Armstrong,1933,USA
Si-fi,Terminator/Terminator 2,James Cameron,Arnold Schwarzenegger/Linda Hamilton/Michael Biehn,1984/1991,USA
Si-fi,The Matrix,Andy & Larry Wachowski,Carrie-Anne Moss/Keanu Reeves/Laurence Fishburne,1999,USA
Si-fi,Alphaville,Jean Luc-Godard,Anna Karina/Eddie Constantine,1965,France
Si-fi,Back to the Future,Robert Zemeckis,Christopher Lloyd/Crispin Glover/Lea Thompson/Michael J Fox/Michael J. Fox,1985,USA
Si-fi,Planet of the Apes,Franklin J Schaffner ,Charlton Heston/Kim Hunter/Roddy McDowell,1968,USA
Si-fi,Brazil,Terry Gilliam,Jonathan Pryce/Michael Palin/Robert De Niro,1985,UK
Si-fi,The Lord of the Rings trilogy,Peter Jackson,Cate Blanchett/Dominic Monaghan/Elijah Wood/Hugo Weaving/John Rhys-Davies/Liv Tyler/Miranda Otto/Orlando Bloom/Sean Astin/Sir Ian McKellen/Viggo Mortensen/William Boyd,2001-2003,New Zealand
Si-fi,Dark Star,John Carpenter,Brian Narelle/Dan O'Bannon/Dre Pahich,1974,USA
Si-fi,Day the Earth Stood Still,Robert Wise,Hugh Marlowe/Lock Martin/Michael Rennie/Patricia Neal,1951,USA
Si-fi,Edward Scissorhands,Tim Burton,Dianne Wiest/Johnny Depp/Winona Ryder,1990,USA
Si-fi,Akira,Katsuhiro Otomo,Mitsuo Iwata/Nozomu Sasaki/Mami Koyama/Tessho Genda,1988,Japan
Si-fi,Princess Bride,Rob reiner,Billy Crystal/Carty Elwes/Cary Elwes/Mandy Patinkin/Peter Falk/Robin Wright,1987,USA
Si-fi,Pan’s Labyrinth,Guillermo del Toro,Ariadna Gil/Doug Jones/Ivana Baquero/Maribel Verdu/Sergi Lopez,2006,Spain
Si-fi,Starship Troopers,Paul Verhoeven,Casper Van Dien/Clancy Brown/Dina Meyer/Jake Busey/Michael Ironside,1997,USA
Horror,Psycho,Alfred Hitchcock,Anthony Perkins/Janet Leigh/Vera Miles,1960,USA
Horror,Rosemary’s Baby,Roman Polanski,John Cassavetes/Mia Farrow/Ruth Gordon,1968,USA
Horror,Don’t Look Now,Nicholas Roeg,Donald Sutherland/Hilary Mason/Julie Christie,1973,UK
Horror,The Wicker Man,Robin Hardy,Britt Ekland/Christopher Lee/Edward Woodward,1973,UK
Horror,The Shining,Stanley Kubrick,Danny Lloyd/Jack Nicholson/Shelley Duval,1980,USA
Horror,The Exorcist,William Friedkin,Ellen Burstyn/Linda Blair/Max von Sydow,1973,USA
Horror,Nosferatu  (1922),FW Mernau,Alexander Granach/Greta Schroder/Gustav von Wangenheim/Max Schreck,1922,Germany
Horror,Let the Right One In,Tomas Alfredson,Henrik Dahl/Kare Hedebrant/Karin Bergquist/Lina Leandersson/Per Ragnar/Peter Carlberg,2008,Sweden
Horror,Vampyr,Carl Theodor Dreyer,Henriette Gérard/Henriette Gerard/Julian West/Sybille Schmitz,1932,Germany
Horror,Peeping Tom,Michael Powell,Anna Massey/Carl Boehm/Esmond Knight/Karl Bohm/Maxine Audley/Moira Shearer,1960,UK
Horror,The Innocents,Jack Clayton,Clytie Jessop/Deborah Kerr/Michael Redgrave/Peter Wyngarde,1961,USA
Horror,Ringu,Hideo Nakata,Nanako Matsushima/Hiroyuki Sanada/ Rikiya Otaka,1998,Japan
Horror,The Haunting,Robert Wise,Claire Bloom/Julie Harris/Richard Johnson,1963,USA
